class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
MetaKnowledgeRepository,knowledge_repo/repositories/meta.py,37,36,217,0.307,40,11,158,16,15.82,6,0,1
KnowledgeFlask,knowledge_repo/app/app.py,13,13,21,0.309,109,105,526,168,6.61,14,0,0
KnowledgeAuthProvider,knowledge_repo/app/auth_provider.py,12,11,4,0.3,29,13,86,17,7.92,6,3,0
IndexMetadata,knowledge_repo/app/models.py,9,3,0,1.0,12,11,55,16,6.45,7,0,0
PostAuthorAssoc,knowledge_repo/app/models.py,6,0,0,1.0,7,5,18,5,4.6,4,0,0
Comment,knowledge_repo/app/models.py,8,0,0,1.0,10,5,18,5,4.6,3,0,0
ErrorLog,knowledge_repo/app/models.py,10,2,0,1.0,28,22,59,20,3.59,7,0,0
PageView,knowledge_repo/app/models.py,14,0,0,1.0,46,47,212,125,7.17,10,0,0
Vote,knowledge_repo/app/models.py,7,0,0,1.0,9,4,19,3,5.5,3,0,0
User,knowledge_repo/app/models.py,22,7,6,0.2,38,9,110,14,13.78,6,0,0
Tag,knowledge_repo/app/models.py,7,2,0,1.0,13,5,22,3,5.0,4,0,0
Subscription,knowledge_repo/app/models.py,6,0,0,1.0,8,2,10,0,5.0,1,0,0
Post,knowledge_repo/app/models.py,52,29,103,0.163,70,5,18,5,4.6,4,0,0
Email,knowledge_repo/app/models.py,10,0,0,1.0,13,5,21,2,4.6,3,0,0
Group,knowledge_repo/app/models.py,9,5,0,1.0,17,7,43,9,7.43,4,0,0
logged,knowledge_repo/app/models.py,5,5,0,0.6,31,0,0,0,0,0,0,0
KnowledgeMetaExtension,knowledge_repo/app/utils/knowledge_metadata.py,2,1,0,1.0,3,3,11,1,4.0,2,0,0
KnowledgeMetaPreprocessor,knowledge_repo/app/utils/knowledge_metadata.py,2,1,0,1.0,6,2,14,0,7.0,1,0,0
AnonymousKnowledgeUser,knowledge_repo/app/utils/auth.py,6,2,0,1.0,6,1,15,0,15.0,1,0,0
KnowledgeDeployer,knowledge_repo/app/deploy/common.py,7,7,0,0.6,37,15,131,42,11.53,5,3,0
GunicornDeployer,knowledge_repo/app/deploy/gunicorn.py,5,4,0,0.667,28,12,117,30,12.25,7,0,1
FlaskDeployer,knowledge_repo/app/deploy/flask.py,3,2,0,1.0,4,5,24,8,6.4,3,0,1
uWSGIDeployer,knowledge_repo/app/deploy/uwsgi.py,3,1,0,1.0,13,6,59,21,13.33,4,0,1
OAuth2Provider,knowledge_repo/app/auth_providers/oauth2.py,6,5,0,0.7,37,11,164,42,18.73,8,0,1
LdapAuthProvider,knowledge_repo/app/auth_providers/ldap.py,6,5,1,0.333,19,10,61,25,8.6,3,0,1
DebugAuthProvider,knowledge_repo/app/auth_providers/debug.py,3,2,0,1.0,16,3,25,4,9.67,2,0,1
ExtractImagesToLocalServer,knowledge_repo/postprocessors/extract_images_to_local.py,6,4,0,1.0,33,8,96,29,15.62,4,0,1
StubPostprocessor,knowledge_repo/postprocessors/stub.py,3,1,0,1.0,2,3,10,2,4.0,2,0,1
FormatChecks,knowledge_repo/postprocessors/format_checks.py,2,1,0,1.0,13,7,31,16,6.71,4,0,1
ExtractImages,knowledge_repo/postprocessors/extract_images.py,10,9,4,0.167,35,19,177,68,12.89,8,2,1
ExtractImagesToS3,knowledge_repo/postprocessors/extract_images_to_s3.py,6,4,0,1.0,33,12,115,48,13.58,5,0,1
StubConverter,knowledge_repo/converters/stub.py,7,5,0,1.0,4,4,24,1,6.25,3,0,1
DocxConverter,knowledge_repo/converters/docx.py,4,3,0,1.0,17,6,77,35,18.67,4,1,1
GDocConverter,knowledge_repo/converters/gdoc.py,3,2,1,0.0,28,8,92,20,14.0,5,0,1
OrgConverter,knowledge_repo/converters/org.py,17,13,24,0.071,46,13,398,102,38.46,4,0,1
ProxyConverter,knowledge_repo/converters/proxy.py,2,1,0,1.0,7,4,21,4,6.25,4,0,1
RmdConverter,knowledge_repo/converters/rmd.py,2,1,0,1.0,23,18,115,60,9.72,10,0,1
InlineSpanStyles,knowledge_repo/converters/html.py,3,1,0,1.0,14,7,60,24,12.0,5,0,0
IndentsAsCellOutputPreprocessor,knowledge_repo/converters/html.py,2,1,0,1.0,8,1,22,0,22.0,1,0,0
IndentsAsCellOutputProcessor,knowledge_repo/converters/html.py,3,2,1,0.0,12,9,61,12,8.11,7,0,0
IndentsAsCellOutput,knowledge_repo/converters/html.py,1,1,0,1.0,4,1,22,0,22.0,1,0,0
KnowledgeMetaPreprocessor,knowledge_repo/converters/html.py,2,1,0,1.0,6,2,14,0,7.0,1,0,0
KnowledgeMetaExtension,knowledge_repo/converters/html.py,2,1,0,1.0,3,3,11,1,4.0,2,0,0
MathJaxPattern,knowledge_repo/converters/html.py,2,2,0,1.0,4,2,15,2,8.5,2,0,0
MathJaxExtension,knowledge_repo/converters/html.py,1,1,0,1.0,3,3,9,2,3.67,3,0,0
HTMLConverter,knowledge_repo/converters/html.py,8,6,2,0.4,28,17,127,25,8.94,9,0,1
SpanMatchHandler,knowledge_repo/converters/html.py,1,1,0,1.0,9,0,0,0,0,0,0,0
PDFConverter,knowledge_repo/converters/pdf.py,7,5,1,0.0,12,5,30,6,7.2,3,0,1
IpynbFormat,knowledge_repo/converters/ipynb.py,3,2,0,1.0,22,6,39,3,7.0,5,0,1
PkpConverter,knowledge_repo/converters/pkp.py,4,3,0,1.0,12,4,34,2,9.0,3,0,1
MdConverter,knowledge_repo/converters/md.py,2,1,0,1.0,6,5,9,4,2.6,3,0,1
